id,waqf
1,وقف بإبدال الهمزة ألفاً مع القصر والتوسط والطول.
2,وقف بإبدال الهمزة الأولى ألفاً، وله في المتطرفة الإبدال ألفاً مع القصر والتوسط والطول، وله تسهيل الهمزة بالروم على المد والقصر.
3,وقف بإبدال الهمزة الأولى ياء مفتوحة، وإبدال الثانية ألفاً مع القصر والتوسط والمد.
4,وقف بإبدال الهمزة حرف مد مع القصر والتوسط والطول، وله التسهيل بالروم على المد والقصر.
5,وقف بإبدال الهمزة حرف مد مع القصر والتوسط والطول، وله تسهيل الهمزة بالروم على المد والقصر.
6,وقف بإبدال الهمزة حرف مد مع القصر والتوسط والطول، وله تسهيل الهمزة مع الروم على المد والقصر.
7,وقف بإبدال الهمزة حرفا مديا، وله التسهيل بالروم.
8,وقف بإبدال الهمزة مع الإظهار والإدغام.
9,وقف بإبدال الهمزة مع القصر والتوسط والطول.
10,وقف بإبدال الهمزة مع القصر والتوسط والمد، وسهل الهمزة بالروم مع المد والقصر.
11,وقف بإبدال الهمزة واوا مدية.
12,وقف بإبدال الهمزة واوا، مع الإظهار والإدغام.
13,وقف بإبدال الهمزة وقفاً حرف مد مع القصر والتوسط والطول.
14,وقف بإبدال الهمزة ياء مدية ، مع ضم وكسر الهاء.
15,وقف بإبدال الهمزة ياء مع الإدغام، والإظهار.
16,وقف بإبدال الهمزة ياء مع الإدغام؛ لزيادة الياء، وأما التسهيل بين بين فضعيف.
17,وقف بإبدال الهمزة ياء مفتوحة وإدغام ما قبلها فيها.
18,وقف بإبدال الهمزة ياء مفتوحة.
19,وقف بإبدال الهمزة ياء مفتوحة، مع فتح هاء التأنيث.
20,وقف بإبدال الهمزة، مع ترك هاء السكت.
21,وقف بإبدال وتحقيق الأولى، وتسهيل الثانية مع المد والقصر.
22,وقف بإبدالها ألفا.
23,وقف بإبدالها ألفاً، مع كسر الهاء.
24,وقف بإبدالها حرفا مديا.
25,وقف بإبدالها حرفا مديا، مع تفخيم الراء في الحالين.
26,وقف بإبدالها حرفا مديا، مع كسر الهاء في الحالين.
27,وقف بإمالة الراء والهمزة، مع التسهيل بالمد والقصر في الألف الأولى.
28,وقف بالإبدال ألفاً، وبالتسهيل مع الروم.
29,وقف بالإبدال مع الإدغام بالسكون، والإشمام، والروم.
30,وقف بالإبدال مع الإدغام.
31,وقف بالإبدال مع الإدغام، مع السكون المحض والروم.
32,وقف بالإبدال مع الإدغام، مع السكون والإشمام والروم.
33,وقف بالإبدال مع الإدغام، مع فتح هاء التأنيث.
34,وقف بالإبدال مع القصر والتوسط والطول.
35,وقف بالإبدال مع القصر والتوسط والطول، وتسهيل الهمزة بالروم على المد والقصر.
36,وقف بالإبدال مع القصر والتوسط والطول، وله تسهيل الهمزة مع الروم على المد والقصر.
37,وقف بالإدغام.
38,وقف بالتحقيق، والتسهيل مع المد والقصر.
39,وقف بالتسهيل مع القصر والتوسط.
40,وقف بالتسهيل والتحقيق، مع حذف الياء في الحالين.
41,وقف بالتسهيل والحذف.
42,وقف بالتسهيل، والتحقيق، مع ترقيق اللام في الحالين.
43,وقف بالسكت والنقل على الهمزة الأولى، وله في الثانية الإبدال مع القصر والتوسط والطول.
44,وقف بالسكت والنقل.
45,وقف بالسكت والنقل، مع ترقيق اللام في الحالين.
46,وقف بالسكت والنقل، مع ترك الإمالة.
47,وقف بالسكت والنقل، مع فتح هاء التأنيث.
48,وقف بالسكت والنقل، وله في الثانية التسهيل مع المد والقصر.
49,وقف بالسكت، والتحقيق، والنقل.
50,وقف بالسكت، والنقل على الأولى، وله في الثانية الإبدال مع القصر والتوسط والطول.
51,وقف بالسكت، والنقل.
52,وقف بالسكت، والنقل، والتحقيق.
53,وقف بالسكت، والنقل، وتركهما.
54,وقف بالسكت، والنقل، وتركهما، وعند الوقف بوجه النقل يكون له المد والقصر في الميم.
55,وقف بالسكت، والنقل، وتركهما، وله ترك الياء حال الوقف بالسكت والتحقيق.
56,وقف بالنقل مع ترك هاء السكت.
57,وقف بالنقل والإبدال مع الإدغام.
58,وقف بالنقل والإدغام، وعلى كل السكون والروم والإشمام.
59,وقف بالنقل والتحقيق.
60,وقف بالنقل والتحقيق، مع ترك الياء حال الوقف بالتحقيق.
61,وقف بالنقل والتحقيق، وعند الوقف بوجه النقل يكون له المد والقصر في الميم.
62,وقف بالنقل.
63,وقف بالنقل، مع السكون المحض والروم والإشمام.
64,وقف بالنقل، مع السكون والإشمام والروم.
65,وقف بالنقل، والإبدال مع الإدغام.
66,"وقف بالنقل، والإدغام, وحكى صاحب النشر وجها آخر:, وهو قلب الهمزة موضع الياء ثم إبدال الهمزة ألفاً، نقله في النشر وسكت عنه."
67,وقف بالنقل، وبالإبدال مع الإدغام.
68,وقف بالنقل، وبالإبدال مع الإدغام، مع السكون المحض والروم والإشمام.
69,وقف بالنقل، وبالإبدال مع الإدغام، مع السكون المحض والروم.
70,وقف بالنقل، وبالإبدال مع الإدغام، وعلى الوجهين السكون المحض والروم.
71,وقف بالنقل، وبالإبدال مع الإدغام، وله فيهما السكون المحض والروم والإشمام.
72,وقف بالنقل، وبالإبدال مع الإدغام، وله فيهما السكون المحض والروم.
73,وقف بالنقل، وكذلك بالنقل مع إثبات ألف بعد السين للرسم.
74,وقف بالنقل، وله النقل مع إثبات الألف على الرسم أي:  ككلمة الصلاة، قال في النشر: إنه مسموع قوي.
75,وقف بالهاء الساكنة، وله في الهمزة التحقيق،  والتسهيل مع المد والقصر.
76,وقف بالياء موافقة للرسم.
77,وقف بالياء؛ لأنها فعل مضارع مرفوع.
78,وقف بتحقيق الأولى وتسهيل وتحقيق الثانية.
79,وقف بتحقيق الأولى، مع تحقيق وتسهيل الثانية، وعلى الوجهين: تسهيل، وإبدال الثالثة ياء مضمومة.
80,وقف بتحقيق الأولى، وتسهيل وتحقيق الثانية..
81,وقف بتحقيق الأولى، وتسهيل وتحقيق الثانية، وأما الهمزة الثالثة فله فيها: التسهيل، والإبدال ياء مضمومة.
82,وقف بتحقيق الهمزة وإبدالها ياء مفتوحة.
83,وقف بتحقيق الهمزة، وإبدالها ياء مفتوحة.
84,وقف بتحقيق الهمزة، وتسهيلها مع المد والقصر.
85,وقف بتحقيق الهمزة، وله تسهيلها مع المد والقصر.
86,وقف بتحقيق وإبدال الهمزة ياء مفتوحة.
87,وقف بتحقيق وإبدال الهمزة ياء مفتوحة، مع فتح هاء التأنيث.
88,وقف بتحقيق وتسهيل الأولى، وله في الثانية التسهيل.
89,وقف بتحقيق وتسهيل الثانية.
90,وقف بتحقيق وتسهيل الهمزة الأولى، مع تسهيل الثانية مع المد والقصر فتكون أربعة أوجه.
91,وقف بتحقيق وتسهيل الهمزة مع ترك هاء السكت.
92,وقف بتحقيق وتسهيل الهمزة.
93,وقف بتحقيق وتسهيل الهمزة، مع ترك هاء السكت.
94,وقف بتحقيق وتسهيل الهمزة، مع فتح هاء التأنيث.
95,وقف بتحقيق وتسهيل الهمزة، وترك هاء السكت.
96,وقف بتحقيق، وإبدال الهمزة ياء مفتوحة.
97,وقف بتحقيق، وتسهيل الهمزة.
98,"وقف بتخفيف الهمزة بأربعة أوجه:, - إبدال الهمزة ياء مدية, -  تسهيلها بين بين مع الروم, - إبدالها ياء مكسورة، والوقف عليها بالسكون المحض، وبالروم."
99,"وقف بتخفيف الهمزة باثني عشر وجها: خمسة القياس:, - إبدال الهمزة ألفاً، مع القصر والتوسط والمد, - التسهيل بالروم، مع المد والقصر, - وسبعة على الرسم؛ لأن الهمزة فيه مرسومة على واو؛ فتبدل واوا مضمومة ثم تسكن للوقف, ويجري فيها الأوجه الثلاثة: القصر والتوسط والمد، مع السكون المحض, - القصر والتوسط والمد، مع الإشمام فتصير الأوجه ستة, - والسابع: روم حركتها مع القصر."
100,"وقف بتخفيف الهمزة بخمسة أوجه:, - إبدال الهمزة ياء مدية, -  تسهيلها بين بين مع الروم, - إبدالها ياء مضمومة على الرسم، مع السكون المحض، والروم والإشمام."
101,"وقف بتخفيف الهمزة بخمسة أوجه:, إبدال الهمزة ياء مدية, تسهيلها بين بين مع الروم, إبدالها ياء مضمومة على الرسم، مع السكون المحض، والروم والإشمام."
102,وقف بتسهيل الهمزة الثانية، مع فتح هاء التأنيث.
103,وقف بتسهيل الهمزة بين بين ، وبحذفها على الرسم.
104,وقف بتسهيل الهمزة مع الروم، وإبدالها ألفا.
105,وقف بتسهيل الهمزة مع المد والقصر مع ثبوت الياء.
106,وقف بتسهيل الهمزة مع المد والقصر.
107,وقف بتسهيل الهمزة مع المد والقصر، مع ترقيق الراء.
108,وقف بتسهيل الهمزة مع المد والقصر، مع تفخيم الراء في الحالين.
109,وقف بتسهيل الهمزة مع المد والقصر، مع فتح هاء التأنيث وقفا.
110,وقف بتسهيل الهمزة مع المد والقصر، مع قصر مد البدل.
111,وقف بتسهيل الهمزة مع المد والقصر، وترك الوقف بهاء السكت.
112,وقف بتسهيل الهمزة مع المد والقصر، وله التسهيل بالروم على المد والقصر.
113,وقف بتسهيل الهمزة.
114,وقف بتسهيل الهمزة، مع ترك هاء السكت.
115,وقف بتسهيل الهمزة، مع فتح هاء التأنيث وقفا.
116,وقف بتسهيل وإبدال الهمزة ياء مضمومة.
117,وقف بتسهيل وتحقيق الثانية.
118,وقف بتسهيل وتحقيق الهمزة الأولى، وله النقل في الثانية.
119,وقف بتسهيل وتحقيق الهمزة الأولى، وله في الثانية الإبدال حرف مد، مع القصر والتوسط والطول، وله تسهيل الهمزة بالروم على المد والقصر.
120,وقف بتسهيل وتحقيق الهمزة الأولى، وله في الثانية التسهيل، وإبدالها ياء مضمومة.
121,وقف بتسهيل وتحقيق الهمزة الأولى، وله في الثانية النقل.
122,وقف بتسهيل وتحقيق الهمزة الثانية، وله في الثالثة التسهيل  مع المد والقصر.
123,وقف بتسهيل وتحقيق الهمزة.
124,وقف بتسهيل وتحقيق الهمزة، مع تفخيم الراء في الحالين.
125,وقف بتسهيل وتحقيق الهمزة، مع تفخيم الراء.
126,وقف بتسهيل وتحقيق وإبدال الهمزة ياء مضمومة.
127,وقف بتسهيل وتحقيق وإبدال الهمزة ياء مضمومة، مع تفخيم الراء.
128,وقف بتسهيل وحذف الهمزة، فتصبح الواو لينةً.
129,وقف بتسهيل، وإبدال الهمزة ياء مضمومة.
130,وقف بتسهيل، وتحقيق، وإبدال الهمزة ياء مضمومة.
131,"وقف بثلاثة أوجه :, - حذف الهمزة، مع ضم ما قبلها, - تسهيل الهمزة بين بين, - إبدال الهمزة ياء مضمومة."
132,"وقف بثلاثة أوجه :, - حذف الهمزة، مع ضم ما قبلها, - تسهيل الهمزة بين بين, -إبدال الهمزة ياء مضمومة."
133,وقف بحذف الياء.
134,وقف بدون هاء السكت.
135,"وقف بستة, هذا كله على تدبير الهمزة الثانية, أما الأولى وهي همزة الاستفهام ففيها أربعة أوجه:, التحقيق مع عدم السكت على الياء الحاصلة عن إشباع كسرة الهاء في به, ثم النقل، ثم الإدغام, غير أن صاحب النشر اختار الإدغام على النقل."
136,وقف بنقل حركة الهمزة مع السكون المحض والروم.
