sora,sora_name,sora_name_tshkeel,sora_type,ayat_number
1,الفاتحة,الفَاتِحَة,مكية,7
2,البقرة,البَقَرَة,مدنية,286
3,آل عمران,آل عِمرَان,مدنية,200
4,النساء,النِّسَاء,مدنية,176
5,المائدة,المَائدة,مدنية,120
6,الأنعام,الأنعَام,مكية,165
7,الأعراف,الأعرَاف,مكية,206
8,الأنفال,الأنفَال,مدنية,75
9,التوبة,التوبَة,مدنية,129
10,يونس,يُونس,مكية,109
11,هود,هُود,مكية,123
12,يوسف,يُوسُف,مكية,111
13,الرعد,الرَّعْد,مدنية,43
14,إبراهيم,إبراهِيم,مكية,52
15,الحجر,الحِجْر,مكية,99
16,النحل,النَّحْل,مكية,128
17,الإسراء,الإسْرَاء,مكية,111
18,الكهف,الكهْف,مكية,110
19,مريم,مَريَم,مكية,98
20,طه,طه,مكية,135
21,الأنبياء,الأنبيَاء,مكية,112
22,الحج,الحَج,مدنية,78
23,المؤمنون,المُؤمنون,مكية,118
24,النور,النُّور,مدنية,64
25,الفرقان,الفُرْقان,مكية,77
26,الشعراء,الشُّعَرَاء,مكية,227
27,النمل,النَّمْل,مكية,93
28,القصص,القَصَص,مكية,88
29,العنكبوت,العَنكبوت,مكية,69
30,الروم,الرُّوم,مكية,60
31,لقمان,لقمَان,مكية,34
32,السجدة,السَّجدَة,مكية,30
33,الأحزاب,الأحزَاب,مدنية,73
34,سبأ,سَبَأ,مكية,54
35,فاطر,فَاطِر,مكية,45
36,يس,يس,مكية,83
37,الصافات,الصَّافات,مكية,182
38,ص,ص,مكية,88
39,الزمر,الزُّمَر,مكية,75
40,غافر,غَافِر,مكية,85
41,فصلت,فُصِّلَتْ,مكية,54
42,الشورى,الشُّورَى,مكية,53
43,الزخرف,الزُّخْرُف,مكية,89
44,الدخان,الدُخَان,مكية,59
45,الجاثية,الجَاثيَة,مكية,37
46,الأحقاف,الأحْقاف,مكية,35
47,محمد,مُحَمَّد,مدنية,38
48,الفتح,الفَتْح,مدنية,29
49,الحجرات,الحُجرَات,مدنية,18
50,ق,ق,مكية,45
51,الذاريات,الذَّاريَات,مكية,60
52,الطور,الطُّور,مكية,49
53,النجم,النَّجْم,مكية,62
54,القمر,القَمَر,مكية,55
55,الرحمن,الرَّحمن,مدنية,78
56,الواقعة,الوَاقِعَة,مكية,96
57,الحديد,الحَديد,مدنية,29
58,المجادلة,المُجَادلة,مدنية,22
59,الحشر,الحَشر,مدنية,24
60,الممتحنة,المُمتَحنَة,مدنية,13
61,الصف,الصَّف,مدنية,14
62,الجمعة,الجُمُعَة,مدنية,11
63,المنافقون,المنَافِقون,مدنية,11
64,التغابن,التغَابُن,مدنية,18
65,الطلاق,الطلَاق,مدنية,12
66,التحريم,التحْريم,مدنية,12
67,الملك,المُلْك,مكية,30
68,القلم,القَلَم,مكية,52
69,الحاقة,الحَاقَّة,مكية,52
70,المعارج,المعَارج,مكية,44
71,نوح,نُوح,مكية,28
72,الجن,الجِن,مكية,28
73,المزمل,المُزَّمِّل,مكية,20
74,المدثر,المُدَّثِّر,مكية,56
75,القيامة,القِيَامَة,مكية,40
76,الإنسان,الإنسَان,مدنية,31
77,المرسلات,المُرسَلات,مكية,50
78,النبأ,النَّبَأ,مكية,40
79,النازعات,النّازعَات,مكية,46
80,عبس,عَبَس,مكية,42
81,التكوير,التَّكوير,مكية,29
82,الانفطار,الانفِطار,مكية,19
83,المطففين,المطفِّفِين,مكية,36
84,الانشقاق,الانْشِقَاق,مكية,25
85,البروج,البرُوج,مكية,22
86,الطارق,الطَّارِق,مكية,17
87,الأعلى,الأَعْلى,مكية,19
88,الغاشية,الغَاشِية,مكية,26
89,الفجر,الفَجْر,مكية,30
90,البلد,البَلَد,مكية,20
91,الشمس,الشَّمْس,مكية,15
92,الليل,الليْل,مكية,21
93,الضحى,الضُّحَى,مكية,11
94,الشرح,الشَّرْح,مكية,8
95,التين,التِّين,مكية,8
96,العلق,العَلَق,مكية,19
97,القدر,القَدْر,مكية,5
98,البينة,البَينَة,مدنية,8
99,الزلزلة,الزلزَلة,مدنية,8
100,العاديات,العَادِيات,مكية,11
101,القارعة,القَارِعة,مكية,11
102,التكاثر,التَّكَاثر,مكية,8
103,العصر,العَصْر,مكية,3
104,الهمزة,الهُمَزَة,مكية,9
105,الفيل,الفِيل,مكية,5
106,قريش,قُرَيْش,مكية,4
107,الماعون,المَاعُون,مكية,7
108,الكوثر,الكَوْثَر,مكية,3
109,الكافرون,الكَافِرُون,مكية,6
110,النصر,النَّصر,مدنية,3
111,المسد,المَسَد,مكية,5
112,الإخلاص,الإخْلَاص,مكية,4
113,الفلق,الفَلَق,مكية,5
114,الناس,النَّاس,مكية,6
