wordindex,word,surah,ayah,startx,starty,width,pageno,rawword,pageno1
1,بِسْمِ,1,1,,,,2,بسم,1
2,اللَّهِ,1,1,,,,2,الله,1
3,الرَّحْمَٰنِ,1,1,,,,2,الرحمن,1
4,الرَّحِيمِ,1,1,,,,2,الرحيم,1
5,الْحَمْدُ,1,2,,,,2,الحمد,1
6,لِلَّهِ,1,2,,,,2,لله,1
7,رَبِّ,1,2,,,,2,رب,1
8,الْعَالَمِينَ,1,2,,,,2,العالمين,1
9,الرَّحْمَٰنِ,1,3,,,,2,الرحمن,1
10,الرَّحِيمِ,1,3,,,,2,الرحيم,1
11,مَالِكِ,1,4,,,,2,مالك,1
12,يَوْمِ,1,4,,,,2,يوم,1
13,الدِّينِ,1,4,,,,2,الدين,1
14,إِيَّاكَ,1,5,,,,2,إياك,1
15,نَعْبُدُ,1,5,,,,2,نعبد,1
16,وَإِيَّاكَ,1,5,,,,2,وإياك,1
17,نَسْتَعِينُ,1,5,,,,2,نستعين,1
18,اهْدِنَا,1,6,,,,2,اهدنا,1
19,الصِّرَاطَ,1,6,,,,2,الصراط,1
20,الْمُسْتَقِيمَ,1,6,,,,2,المستقيم,1
21,صِرَاطَ,1,7,,,,2,صراط,1
22,الَّذِينَ,1,7,,,,2,الذين,1
23,أَنْعَمْتَ,1,7,,,,2,أنعمت,1
24,عَلَيْهِمْ,1,7,,,,2,عليهم,1
25,غَيْرِ,1,7,,,,2,غير,1
26,الْمَغْضُوبِ,1,7,,,,2,المغضوب,1
27,عَلَيْهِمْ,1,7,,,,2,عليهم,1
28,وَلَا,1,7,,,,2,ولا,1
29,الضَّالِّينَ,1,7,,,,2,الضالين,1
30,بِسْمِ,2,1,,,,3,بسم,2
31,اللَّهِ,2,1,,,,3,الله,2
32,الرَّحْمَٰنِ,2,1,,,,3,الرحمن,2
33,الرَّحِيمِ,2,1,,,,3,الرحيم,2
34,الم,2,1,,,,3,الم,2
35,ذَٰلِكَ,2,2,,,,3,ذلك,2
36,الْكِتَابُ,2,2,,,,3,الكتاب,2
37,لَا,2,2,,,,3,لا,2
38,رَيْبَ,2,2,,,,3,ريب,2
39,فِيهِ,2,2,,,,3,فيه,2
40,هُدًى,2,2,,,,3,هدى,2
41,لِّلْمُتَّقِينَ,2,2,,,,3,للمتقين,2
