aya_index,page_number,sora_number,aya_number,x_ratio,y_ratio,x_prev_ratio,y_prev_ratio
1,2,1,1,0.284424379232506,0.352941176470588,0.0,0.0
2,2,1,2,0.840857787810384,0.272331154684096,0.284424379232506,0.352941176470588
3,2,1,3,0.601580135440181,0.416848220769789,0.840857787810384,0.272331154684096
4,2,1,4,0.13882618510158,0.416122004357298,0.601580135440181,0.416848220769789
5,2,1,5,0.145598194130926,0.483660130718954,0.13882618510158,0.416122004357298
6,2,1,6,0.243792325056433,0.544662309368192,0.145598194130926,0.483660130718954
7,2,1,7,0.154627539503386,0.71677559912854,0.243792325056433,0.544662309368192
8,3,2,1,0.677200902934537,0.34640522875817,0.0,0.0
9,3,2,2,0.479683972911964,0.419026870007262,0.677200902934537,0.34640522875817
10,3,2,3,0.383747178329571,0.570079883805374,0.479683972911964,0.419026870007262
11,3,2,4,0.141083521444695,0.713144517066086,0.383747178329571,0.570079883805374
12,4,2,5,0.0293453724604966,0.0363108206245461,0.0,0.0
13,4,2,6,0.751693002257336,0.161220043572985,0.0293453724604966,0.0363108206245461
14,4,2,7,0.240406320541761,0.241103848946986,0.751693002257336,0.161220043572985
15,4,2,8,0.0304740406320542,0.292665214233842,0.240406320541761,0.241103848946986
16,4,2,9,0.712189616252822,0.419026870007262,0.0304740406320542,0.292665214233842
17,4,2,10,0.276523702031603,0.482933914306463,0.712189616252822,0.419026870007262
18,4,2,11,0.173814898419865,0.548293391430646,0.276523702031603,0.482933914306463
19,4,2,12,0.341986455981941,0.612200435729848,0.173814898419865,0.548293391430646
20,4,2,13,0.512415349887133,0.739288307915759,0.341986455981941,0.612200435729848
21,4,2,14,0.720090293453725,0.867102396514161,0.512415349887133,0.739288307915759
22,4,2,15,0.797968397291196,0.931735657225853,0.720090293453725,0.867102396514161
23,5,2,16,0.317155756207675,0.0384894698620189,0.0,0.0
24,5,2,17,0.593679458239278,0.167029774872912,0.317155756207675,0.0384894698620189
