part_id,aya_index,part_no,part_text,part_text_full,hamza
1,2,1,الحمد لله رب العالمين,الْحَمْدُ لِلَّهِ رَبِّ الْعَالَمِينَ,
2,3,1,الرحمٰن الرحيم,الرَّحْمَٰنِ الرَّحِيمِ,
3,4,1,مالك يوم الدين,مَالِكِ يَوْمِ الدِّينِ,
4,5,1,إياك نعبد وإياك نستعين,إِيَّاكَ نَعْبُدُ وَإِيَّاكَ نَسْتَعِينُ,
5,6,1,اهدنا الصراط المستقيم,اهْدِنَا الصِّرَاطَ الْمُسْتَقِيمَ,
6,7,1,صراط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,صِرَاطَ الَّذِينَ أَنْعَمْتَ عَلَيْهِمْ غَيْرِ الْمَغْضُوبِ عَلَيْهِمْ وَلَا الضَّالِّينَ,
7,8,1,بسم الله الرحمٰن الرحيم الم,بِسْمِ اللَّهِ الرَّحْمَٰنِ الرَّحِيمِ الم,
8,9,1,ذٰلك الكتاب لا ريب ۛ فيه ۛ هدى للمتقين,ذَٰلِكَ الْكِتَابُ لَا رَيْبَ ۛ فِيهِ ۛ هُدًى لِّلْمُتَّقِينَ,
9,10,1,الذين يؤمنون بالغيب ويقيمون الصلاة ومما رزقناهم ينفقون,الَّذِينَ يُؤْمِنُونَ بِالْغَيْبِ وَيُقِيمُونَ الصَّلَاةَ وَمِمَّا رَزَقْنَاهُمْ يُنفِقُونَ,
10,11,1,والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالآخرة هم يوقنون,وَالَّذِينَ يُؤْمِنُونَ بِمَا أُنزِلَ إِلَيْكَ وَمَا أُنزِلَ مِن قَبْلِكَ وَبِالْآخِرَةِ هُمْ يُوقِنُونَ,
11,12,1,أولٰئك علىٰ هدى من ربهم,أُولَٰئِكَ عَلَىٰ هُدًى مِّن رَّبِّهِمْ,
12,12,2,وأولٰئك هم المفلحون,وَأُولَٰئِكَ هُمُ الْمُفْلِحُونَ,
13,13,1,إن الذين كفروا سواء عليهم أأنذرتهم أم لم تنذرهم لا يؤمنون,إِنَّ الَّذِينَ كَفَرُوا سَوَاءٌ عَلَيْهِمْ أَأَنذَرْتَهُمْ أَمْ لَمْ تُنذِرْهُمْ لَا يُؤْمِنُونَ,1
